nama,ulasan,label,sentiment,score
Imam Galeria,"Jadi kyk ada gas yg keluar dr dlm tanah, y kyk elpiji gt kali ya, cmn g bau tajem kyk gas bocor, begitu d korek in langsung nyala..... Baru tau aku, ckckc, ..... subhanallah",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9990217685699463}]",0.9990217685699463
Ellya Imami,"Kunjungan siang hari, puanas poolll",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.5920555591583252}]",0.5920555591583252
de as,"- Saat saya ke wisata ini naik motor dengan ponaan kondisinya lumayan. Karena siang, api tidak begitu terlihat jelas. Dan tidak ada tiket masuk ""GRATIS"". …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992905855178833}]",0.9992905855178833
Irma Muzaiyaroh,ada beberapa titik api yang menyala dan dilindungi pagar... Banyak aneka barang yang dijual juga... Bisa bakar jagung sendiri juga,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9887583255767822}]",0.9887583255767822
Lutfi EstilLo,"Saya sampai dsini malam hari dan rada gerimis jadi suasana pas dgn kdatangan saya, kalian bisa langsung pesan jagung muda untuk langsung d bakar d api sekitar .. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9214572906494141}]",0.9214572906494141
Mas Eko,"Sebelum kembali ke homestay,mampir dulu kesini...

Api Tak Kunjung Padam ~ Pamekasan
Pulau Madura ~ Jawa Timur",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9872843027114868}]",0.9872843027114868
Ana The Twin,Kurang tertarik dengan tempat wisata ini karena hanya terlihat area yang dipahar dengan beberapa api yang muncul dari tanah.. tapi lumayan banyak pedagang sehingga bisa dijadikan tempat belanja dan oleh-oleh buat keluarga dirumah.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8308005332946777}]",0.8308005332946777
Demen 6464,"Karcisnya 3 kali masuk ke dalem ya cuma lihat api aja gak ada perkembangan dari dulu ya gitu² aja
Karcis pertama 10k sampe parkiran 10k dari parkiran menuju lokasi masih bayar …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9957090616226196}]",0.9957090616226196
Maghfiroh Alfajriyah,"Salah satu tempat wisata yang bisa dikunjungi saat ke Madura, khususnya Pamekasan dengan daya tariknya yaitu api yang terus menyala. Lebih terlihat saat malam hari. Ada juga berbagai macam souvenir yang dijual disini untuk oleh-oleh.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9978604912757874}]",0.9978604912757874
tufail aulia,"fasum : toilet kurang bersih, banyak sampah plastik berserakan, musholla, warung makan, warung oleh-oleh. hanya lokasi wisata yang kurang bisa menarik perhatian wisatan, agar kembali lagi, disebabkan karena kurang nya kebersihan, kurang nya …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9994832277297974}]",0.9994832277297974
Si Bungsu,"Tempat wisata yg bagus dan unik
Karena terdapat sebuah api yg sudah ber puluh tahun tidak pernah padam walaupun di saat turun hujan skali pun.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9983184337615967}]",0.9983184337615967
ady kato,"salah satu fenomena alam api tak kunjung padam...
masuk bayar 2000 tanpa dikasih tiket.
masih banyak orang dewasa dan anak2 kecil yg meminta² uang...",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9184964895248413}]",0.9184964895248413
Mr Sultoni,"Api yg tak kunjung padam......nyala terus meski hujan.....
Ayo tinggal bawa jagung...",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9975780844688416}]",0.9975780844688416
Khair Al-bugisy,Sekedar info. Konon katanya api nya ada sejak sebelum tahun 45. Api nya padam klo hujan. Dan nyala lagi klo dikasi pemantik api /korek,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9880054593086243}]",0.9880054593086243
Furoydi,"Mantep sih, beneran bisa keluar api kalo digosok² tanah nya",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998201727867126}]",0.9998201727867126
Aynul92,"Banyak sekali penjual aksesoris dan souvenir khas madura, ada juga yg jual jagung buat bakar2.
Akses jalan menuju lokasi sudah bagus dan beraspal",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994558691978455}]",0.9994558691978455
Offlaner GAMING,Liburan disini aja api tak kunjung padam.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9800297617912292}]",0.9800297617912292
Fahima Charisa,Masyaallah...api keluar langsung dr tanah,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.928115725517273}]",0.928115725517273
Wahana FM,Sampe lokasi bingung mau ngapain karena wisatanya hanya itu saja tapi kalo sudah ke pamekasan tapi gak ke api tak kunjung padam rasanya ada yg kurang,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9988570213317871}]",0.9988570213317871
victor novan,"Lokasinya dekat dengan jalan raya, sayangnya petunjuk arahnya kurang jelas ketika kita menggunakan mobil dengan kecepatan tinggi. Cukup untuk dijadikan lokasi persinggahan wisata di madura",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9986613988876343}]",0.9986613988876343
nia benas,"pariwisata alam, karena apinya murni dari tanah tanpa minyak tanah ataupun bahan bakar lainnya.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9858750700950623}]",0.9858750700950623
Rumah Zaviera,"Kalo berencana berkunjung, jangan berekspektasi terlalu tinggi. Selalu ingat, sampai tujuan selalu ucapkan subhanallah.
Yang jualan banyak. Banyak pilihan belnja oleh-oleh.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8936052918434143}]",0.8936052918434143
Galeri Kretek,"Saran saya sih
Mending klo berkunjung di waktu malam hari
Lokasi mudah di akses, …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.5512674450874329}]",0.5512674450874329
Supplier Handuk (SH Grosir),"Hidup sudah menyentuh usia kepala 3 baru sempat ke tempat ini 😅 Tempat yang asyik dan berkesan. Salam dari owner SH GROSIR - supplierhandukcom | ""Pusat Handuk & Souvenir Unik Bermanfaat"" …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998113751411438}]",0.998113751411438
Mansyur Alfian,"Tukang parkir yg suka paksa banget, sampek² harus bertengkar dulu sbelum masuk",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9297172427177429}]",0.9297172427177429
Winda Yuli,"Takjub luar biasa.
Travelling bersama BAR Madu ; Madu 100% Asli, Murni, Alami dan Organik.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989007711410522}]",0.9989007711410522
Iwan Wirasto,Salah satu tempat pariwisata yang ada di desa Larangan Tokol Pamekasan Madura... Anda dapat menyaksikan api abadi ini dan bisa juga membeli oleh oleh khas madura,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9974736571311951}]",0.9974736571311951
Azka AsFaR,"Wisata Alam  api nyembur dari dalam tanah, yang berada di kecamatan tlanakan Pamekasan, tempat parkir, toelet juga Ada. Enak buat rekreasi keluarga Dan juga wisata edukasi",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9869154691696167}]",0.9869154691696167
Deri Prihandoko,"Parkir mobil 10.000
Tempat g nyaman panas dan kecil
Penuh pedagang disemua sisi
Kesan api tak kunjung padam hilang",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9971126317977905}]",0.9971126317977905
Djum Hariyanto,Lumayanlah... wisata murah banget ganks... Cocok buat nyari oleh saat ada di Madura Island,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9939836859703064}]",0.9939836859703064
Nurul K,Api tak kunjung padam berada di madura yang mana api selalu menyala dan tak ada habisnya. Orang sekitar menggunakannya untuk keperluan sehari hari seperti memasak merebus air membakar jagung dan lain sebagainya,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9729527831077576}]",0.9729527831077576
Nuril Shinta,"Tempatnya bagus, namun sangat disayangkan banyak sekali oknum preman yg memanfaatkan wisata ini dgn menarik karcis. Jadi untuk masuk ke wisata ini harus 3x bayar: bayar masuk gang 10.000, parkir mobil 10.000, buat lihat apinya juga harus …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9758672118186951}]",0.9758672118186951
Kus Maryanto (zy choez),"Sayangnya pas kesana apinya padam. Harus di nyalakan dulu... , mungkin karena waktu itu gerimis.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9984989166259766}]",0.9984989166259766
zahsf zahsf,Tersedia kamar mandi yg sangat memadai. Toko2 yang menjual makanan dan oleh oleh juga banyak,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9957072138786316}]",0.9957072138786316
Mustaqim qim,"Tempat wisata di Madura, wajib berkunjung untuk membeli oleh oleh khas Madura
Salam dari masjid Miftahul Huda Bendorejo Kediri Minggu 27 Des 2020",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9219967722892761}]",0.9219967722892761
Hammada Syarif,"berada di samping jalan besar, ada beberapa orang yang menjual jagung dan juga ada yang menjual oleh2 khas madura di sekitarnya.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.7326020002365112}]",0.7326020002365112
Shinta Embem,"Api alam yg menjadi obyek wisata alam di pamekasan, letaknya mendekati gerbang salam pamekasan",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9926344752311707}]",0.9926344752311707
Ali Qudsi Hazama,"Api alam yang tak lekang oleh zaman meskipun sudah dihimpit oleh kemajuan zaman tetap benderang untuk warga sekitar
Harga sovenir juga terjangkau",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997572302818298}]",0.9997572302818298
Muh Iqbal Ekasaputra,"Subhanallah, tempat yang mana bisa mengingatkan kita kepada Kuasa Tuhan Yang Maha Esa, dimana sang api tidak pernah padam sekalipun hujan menghadang",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9975614547729492}]",0.9975614547729492
permata hati,"Sayang, pemerintah setempat kurang bijak mengelolanya.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9997374415397644}]",0.9997374415397644
Erlin Serli Selvia,"Disini wisata yang bikin kesel bukan masalah harga parkirnya tapi pemaksaan biaya parkir yang suka di patok tanpa tiket & cara minta nya kurang sopan nada bicaranya , sayang banget pariwisata bagus gini tapi banyak oknum , saya berharap pemerintah pusat bisa ambil alih untuk pengelolaan tempat wisata alam ini",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.5259039998054504}]",0.5259039998054504
Agus Sulistyono,Api alam yang menyala dan tak kunjung padam. Tempat cari hiburan malam dan mencari oleh2.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9788767695426941}]",0.9788767695426941
Nari Iren,Sangat unik dan menarik,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998503923416138}]",0.9998503923416138
Cipto Hartono,"Apinya sudah kecil dan menyebar tidak gede disatu titik, tapi lumayanlah masih bisa beli² buah tangan",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9961189031600952}]",0.9961189031600952
Ummi,Akses menuju ke lokasi cukup mudah,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8716561794281006}]",0.8716561794281006
mentari explore,"Aq kesana selasa 10-09-19. pake mobil mini bus.Masuk gapura dari jalan utama bayar tiket Rp.10.000. Lalu Parkir mobil kena harga Rp.10.000 jg. Dan sebelum masuk area api kena tiket masuk per orang Rp.2000. Penjual souvenir,makanan khas madura banyak disana.toilet Rp.2000.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9866160154342651}]",0.9866160154342651
Sarma saleem,"Wisata Api Abadi, salah satu objek wisata alam, berlokasi di Pamekasan, Madura, Jawa Timur. Hanya dengan 10.000 rupiah, anda bisa memasuki area. Di sini ada banyak para penjual yang menjajakan berbagai aksesoris khas madura. Satu hal yang …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9659066796302795}]",0.9659066796302795
Suwarta Djanoarta,"Fenomena alam api abadi, gas alam yang keluar dan terbakar. Sudah cukup bagus dikelola. Perlu lebih dijaga kebersihan nya lagi karena sisa sampah orang bakar2 jagung dan mie masih ada.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9959569573402405}]",0.9959569573402405
I One,Wisata alam yg sampai saat ini terpelihara dgn baik ..,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9992474317550659}]",0.9992474317550659
MBOK MBOK GAUL,"Subhanallah. Meski diguyur hujan api tak padam.

Sebuah icon kota Pamekasan. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.6610862612724304}]",0.6610862612724304
Adv. Satya Widarma,"Parkir Rp. 10.000, tanpa menunggu apa apa bisa langsung ke lokasi yang penuh dengan pilihan makanan, oleh oleh di sekitar wisata Api Abadi itu. Paling asyik kalau malam karena api bisa tampak lebih jelas.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9987855553627014}]",0.9987855553627014
Fin Katiq,"Fenomena alam ini layak untuk diabadikan saat matahari dah menggelinding di ufuk barat. Ada parkir, ada bakaran langsung tanpa korek api dan bahan bakarnya.
Gratis tanpa tiket masuk, dan pusat oleh2nya dr hasil bumi dan hasil kerajinan warga setempat,",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9948379397392273}]",0.9948379397392273
Hiidaya Tulloh,"Salah Satu wisata terkenal yang ada di Pamekasan, Api Tak Kunjung Padam. Sebelumnya saya kesini hampir 5 th lalu dan sampe sekarang masih ada, tak kunjung padam 😁. Selain liat apinya kita bisa bakar-bakar makanan, seperti Jagung bisa bawa …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9668231010437012}]",0.9668231010437012
Muhammad Zaenal,"Salah satu tempat menakjubkan menurut saya. Api disini benar2 keluar dari gas alam. Begitu kita gali lubang di tanah, api langsung keluar. Bisa buat bakar jagung juga. Biasanya sih dimanfaatin warga buat masak. Banyak juga pedagang disini …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8223239183425903}]",0.8223239183425903
pras veredax,"Apinya hanya di titik"" kecil dan bnyak yg jualan, kurang bereih juga tempatnya
Tapi bnyak yg jualan dan murah-murah",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9979561567306519}]",0.9979561567306519
Rabiatul Irma,belanja d api tak kunjung padam lebih baik dari pada belanja oleh' khas madura d tmpt lain,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9846971035003662}]",0.9846971035003662
PAJERO TRIP 789,Tonton vidionya di PAJERO TRIP 789 CHANELL,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9642335176467896}]",0.9642335176467896
yesinovitasimatupang 09,Biasa aja tempat nya disekitar api banyak orang yang jual oleh oleh khas madura,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.7967552542686462}]",0.7967552542686462
Bona situmorang,"Alami bnget tempatnya
Tpi sayang kurang penerangan akses jalannya",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.999180257320404}]",0.999180257320404
Trias Munip,Anda bisa menikmati jagung bakar yg langsung pembakarannya di api alami yg tak pernah padam,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9987531900405884}]",0.9987531900405884
AgungBN Chanel,"Bagus kalau dilihat malam hari. Hanya hati2 kl malam, jln sempit kl berpapasan. Parkir 5000. Restribusi 5000. Ada yg jual jagung. Bisa bakar2 jagung. Hrgnya 5000.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9696024656295776}]",0.9696024656295776
arifin katik,"Fenomena alam yg dimiliki pamekasan ini luar biasa, dekat jalan raya barat Pamekasan. Sebaiknya
Datang pada saat mentari sudah menjauhi ufuk barat, parkir luas, toiletnya bersih, toko toko penjual sovenir atau oleh2  banyak sekali",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.992313802242279}]",0.992313802242279
Anggen Farestining Manah,"Terdapa api yang terus menyala disini dapt dimanfaatkan pengunjunh untuk memasak, bakar jagung dll. Di tempat ini banyak sekali warung penjual sovenir... namun sayang tempat ini blm di kelola scr maksimal dan yang membuat miris banyak anak kecil menjadi oengemis... dan beberapa orang dewasa/tua",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9984993934631348}]",0.9984993934631348
Budi Antono,Kunjungan ke api tak kunjung padam kalau bisa waktu nya agak sore.jadi api nya bisa terlihat.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.6698768734931946}]",0.6698768734931946
Ahmad Sofyan,"Tempat ini cocok untuk wisata malam yang dingin,  disana banyak yang berjualan jagung untuk di bakar di api tak kunjung padam.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9935678839683533}]",0.9935678839683533
Sahri Al Baihaqii,"Banyak cinderamata khas madura, tp harganya cukup mahal",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9804633259773254}]",0.9804633259773254
NURRAHIM BAMBANG SHOLIHIN,Salah satu tempat wisata alam yg eksotis di Pamekasan. Sangat recommended untuk dikunjungi terutama di malam hari,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994656443595886}]",0.9994656443595886
Ahmad Sahdullah,Baru pertama kali mengunjungi,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9974620342254639}]",0.9974620342254639
Ahmad Faikul Anam,"Entah bagaimana awal mula api ini tak bisa padam.
Namun yg jelas setiap orang yang ingin berziarah ke Madura, pasti ingin ke api tak kunjung padam. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9735929369926453}]",0.9735929369926453
Musni Riyadi,"Itu anugrah tuhan n tetap menyala apinya
Bersyukur bisa melihatnya",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.987694263458252}]",0.987694263458252
Firman Darmawan,"Akses masuk sempit, harus mengalah buat mobil yg papasan, tempat parkir luas, tapi belum dikelola secara profesional, ada mushola, dan kamar mandi yg agak bersih, harga makanan standar",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9902756214141846}]",0.9902756214141846
Oki,"Merupakan salah satu destinasi wisata yang unik, dimana api disitu dapat menyala secara alami dan terus-menerus. Warga di sana menggunakannya untuk membakar jagung dll. Recommended",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9977186918258667}]",0.9977186918258667
Haris Ainur Rozak,"Fenomena aneh, wajib mampir kalo belum pernah dan kalo pas lewat",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9918831586837769}]",0.9918831586837769
Dyah Arma Wilujeng,"2kali kesana
Untuk melihat kuasa Allah tentang api yg tak padam walaupun hujan …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8581397533416748}]",0.8581397533416748
Ari Hartawan,"Api yg benar2 tak padam, wkt kesini hujan tp api tetap menyala..",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.7866907119750977}]",0.7866907119750977
Nurul Ahadiyah,Terkesan,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9991605281829834}]",0.9991605281829834
Erna Setiyowati,Sudah jauh lebih baik dan lebih bersih dibanding kedatangan sebelumnya. Semoga tetap terjaga dan lbh banyak fasilitas lain di sekitarnya,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.983219563961029}]",0.983219563961029
Suliman Sul,Penanganan obyek wisata kurang maksimal,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9990255832672119}]",0.9990255832672119
Muqsit Al-Maghfir,"Kalau sekarang, pengunjung agak sepi sih. Tapi ndak, bagus wisatanya.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.974970281124115}]",0.974970281124115
betta,"Bagus cuma tempatnya kotor,,
Mau cari tempat sampah susah...
Banyak yg buang sampah sembarangan..",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.996321439743042}]",0.996321439743042
Arif Zunaidi,Kesini jangan berekspektasi terlalu tinggi. Karena tidak sewah yang dibayangkan.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.6528425812721252}]",0.6528425812721252
Nuril Huda,"Recommended... Untuk menambah wawasan dan tadabbur alam, silakan datang",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995449185371399}]",0.9995449185371399
Maman Odienkz,"Wisata api alam yang dikenal memiliki api abadi di Kabupaten Pamekasan Madura merupakan satu dari sekian banyak api alam yang ada di dunia. Wisata langka ini berada di Desa Larangan Tokol, Kecamatan Tlanakan, Kabupaten Pamekasan, Madura, Jawa Timur.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9985634684562683}]",0.9985634684562683
Riawan Fibriono,Malam bln ramadhan setelah taraweh masih sepi pengunjung. Toko yg jual cinderamata sedikit yg buka.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.6255936026573181}]",0.6255936026573181
kuroMe xz,"Wisata mahal
Tiket masuk 10.000
Parkir 10.000 …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9976966977119446}]",0.9976966977119446
eva rusdiana,Kalau mau parkir mending cari yg deket aja jangan langsung mau dicegat di jalan supaya pas masuk jalan kakinya tidak terlalu jauh. Untuk apinya memang tidak pernah padam.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.6217320561408997}]",0.6217320561408997
Nur Abidatul,Bs melihat secara langsung kejadian alam yg mengagumkan Subhanallah begitu agung ciptaan Allah,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999843955039978}]",0.999843955039978
Usman Usman,"Tempatnya enak lah , apalagi kalo cuaca dingin duduk dipinggir api tak kunjung padam . Waaah enak, tempat pembelanjaannya banyak . Murah murah lagi , sesuai isi dompet 😅 kulinernya pula cukup lah bwt isi dompet sama isi perut . Insyaallah memuaskan yaa , …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9974748492240906}]",0.9974748492240906
Aryan,Wisata yg sangat natural banget...,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995512366294861}]",0.9995512366294861
Pafizd rantau CHANNEL,Sesubageet besama anak istri,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.976314127445221}]",0.976314127445221
Mukroji Mansur,Para pedagang kurang lengkap daganganya,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9994257688522339}]",0.9994257688522339
emel fiyasbasbar,Tempat lumayan bagus tp kesan alamnya kurang. Terlalu banyak orang jualan dan tidak tertata rapi  kurang nyaman. Kalau area parkir cukup luas.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.996436357498169}]",0.996436357498169
cabe rawit,Senang bisa mengetahui bahwa ada api yg tak pernah padam,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9990088939666748}]",0.9990088939666748
Ismail Maulana,Kalau mau belanja  harus pinter nawar,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9938830137252808}]",0.9938830137252808
Asyrof Putra KangNdeso,Bisnis saya terap buka di google maps,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9970301389694214}]",0.9970301389694214
Egaa yanuar,jangan siang hari kesini apinya gak keliatan kalau selfi,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9936721324920654}]",0.9936721324920654
JAK ANAK BAIK,Tempatnya asik dan saya suka karena bisa bakar jagung sendiri dengan merogoh kocek 2000 rupiah saja 👏👍👌 …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996689558029175}]",0.9996689558029175
Dimas Dwi Aji Jayanto,"Tiket di depan bayar, pas masuk sek parkir bayar...",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9718790650367737}]",0.9718790650367737
Samsul Arifin,"Pondok yang penuh barokah

Pondok ini yang memberi nama PP Nurul ijtihad adalah assyyid Abbas alawy al-Maliki Al hasany mekkah",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.7657396793365479}]",0.7657396793365479
Fatta Fals,Allah maha besar.... Suangar pokok eh,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9960724115371704}]",0.9960724115371704
Aries Dwi,Edukasi untuk anak2 ttg gas alam 😁 …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9969093203544617}]",0.9969093203544617
Febrilia Puspitasari,Good place...🔥🔥 tempat wisata yg unik..recommended u/dikunjungi👍👍👍 …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995166063308716}]",0.9995166063308716
Hani Ws,"Ciamiq, destinasi ini sangat jarang di Indonesia, ayo dulur yg blm kesini, menyusul ya. Saran, kl bs tiba di TKP, stlh matahari terbenam, sehingga nuansa api nya dapet 💙 …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9922878742218018}]",0.9922878742218018
sru put,"Sangat indah dan menakjubkan
Subhanallah",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998703002929688}]",0.9998703002929688
Eva Zulfiyah,Bukti bahwa kekuasaan Allah itu nyata,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9985793828964233}]",0.9985793828964233
Analog Teachers of Learning,Api tak kunjung padam. Harga jagung Rp. 2.000-3.000,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.7666734457015991}]",0.7666734457015991
Angin Sejuk,Kurang perawatan lingkungan sekitarnya...,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9926393032073975}]",0.9926393032073975
